"","Method","n","model","penalty","V1.1","V2.1","V3.1","V4.1","V5","V1996","V1997","V1998","V1999","V2000"
"Wn","Wn","200","1","lasso",1,1,0.064,0.043,0.046,0.037,0.037,0.034,0.045,0.037
"TNL","TNL","200","1","lasso",1,1,0.069,0.049,0.05,0.045,0.04,0.046,0.055,0.054
"TZZ","TZZ","200","1","lasso",1,1,0.141,0.07,0.054,0.043,0.049,0.042,0.053,0.056
"Wn.1","Wn","400","1","lasso",1,1,0.065,0.036,0.035,0.042,0.048,0.036,0.039,0.035
"TNL.1","TNL","400","1","lasso",1,1,0.07,0.05,0.056,0.054,0.048,0.045,0.043,0.052
"TZZ.1","TZZ","400","1","lasso",1,1,0.093,0.063,0.06,0.056,0.055,0.048,0.043,0.052
"Wn.2","Wn","200","2","lasso",1,1,0.927,0.956,0.068,0.045,0.041,0.036,0.039,0.034
"TNL.2","TNL","200","2","lasso",1,1,0.047,0.083,0.067,0.045,0.049,0.043,0.051,0.051
"TZZ.2","TZZ","200","2","lasso",1,1,0.041,0.038,0.045,0.049,0.055,0.042,0.057,0.039
"Wn.3","Wn","400","2","lasso",1,1,0.997,1,0.056,0.037,0.046,0.055,0.034,0.035
"TNL.3","TNL","400","2","lasso",1,1,0.087,0.161,0.052,0.066,0.046,0.048,0.057,0.054
"TZZ.3","TZZ","400","2","lasso",1,1,0.029,0.082,0.04,0.047,0.048,0.047,0.045,0.046
"Wn.4","Wn","200","3","lasso",1,0.055,0.988,0.055,0.037,0.029,0.018,0.035,0.056,1
"TNL.4","TNL","200","3","lasso",0.304,0.075,0.47,0.07,0.065,0.051,0.052,0.053,0.059,0.272
"TZZ.4","TZZ","200","3","lasso",0.285,0.078,0.499,0.083,0.052,0.046,0.034,0.055,0.052,0.294
"Wn.5","Wn","400","3","lasso",1,0.046,0.999,0.05,0.045,0.025,0.03,0.031,0.044,1
"TNL.5","TNL","400","3","lasso",0.358,0.07,0.478,0.054,0.054,0.047,0.049,0.057,0.039,0.349
"TZZ.5","TZZ","400","3","lasso",0.358,0.063,0.496,0.064,0.042,0.054,0.04,0.047,0.05,0.343
