"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Wn",1,0.031,0.991,0.82,0.522,0.974,0.113,0.991,0.6,0.437,0.759,0.444
"TNL",1,0.052,1,1,1,1,0.949,1,1,0.919,1,1
"Wn",2,0.028,0.603,0.585,0.002,0.942,0.162,1,0.173,0.129,0.974,0.999
"TNL",2,0.051,1,0.01,0.838,1,0,1,0.016,0.999,0.052,0.039
"Wn",3,0.044,1,0.808,0.994,0.997,0.022,0.99,0.989,0.391,0.887,0.949
"TNL",3,0.052,0,0,0.001,1,0.103,1,0.001,0.002,0.917,0.001
"Wn",4,0.031,0.997,0.932,0.999,0.999,0.03,0.053,0.451,0.343,0.712,0.732
"TNL",4,0.048,0.085,0.002,1,1,0.775,0.656,0.001,0,0.011,0
"Wn",5,0.036,0.85,0.765,0.962,0.997,0.091,0.523,0.065,0.388,0.569,0.98
"TNL",5,0.051,0.173,0.008,1,1,0.98,0.999,0,0.001,0.045,0.001
