"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Size","1","MVN","10","0.048","0.051","1","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.1","1","MVN","20","0.051","0.061","0.995","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.2","1","MVN","30","0.062","0.048","0.911","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.3","1","MVN","40","0.058","0.066","0.759","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.4","1","MVN","50","0.046","0.06","0.583","$***$","$***$","$***$","$***$","1","$***$","$***$","$***$","$***$"
"Size.5","2","MVN","10","0.06","0.048","1","1","$***$","$***$","$***$","1","0.056","$***$","$***$","$***$"
"Size.6","2","MVN","20","0.043","0.043","0.975","0.965","$***$","$***$","$***$","0.962","0.042","$***$","$***$","$***$"
"Size.7","2","MVN","30","0.064","0.051","0.796","0.695","$***$","$***$","$***$","0.803","0.044","$***$","$***$","$***$"
"Size.8","2","MVN","40","0.045","0.056","0.612","0.429","$***$","$***$","$***$","0.583","0.063","$***$","$***$","$***$"
"Size.9","2","MVN","50","0.04","0.051","0.46","0.261","$***$","$***$","$***$","0.467","0.058","$***$","$***$","$***$"
"Size.10","3","MVN","10","0.052","0.044","1","1","1","$***$","$***$","0.836","0.805","0.971","$***$","$***$"
"Size.11","3","MVN","20","0.048","0.05","0.974","0.95","0.979","$***$","$***$","0.254","0.228","0.527","$***$","$***$"
"Size.12","3","MVN","30","0.049","0.047","0.803","0.721","0.707","$***$","$***$","0.229","0.189","0.186","$***$","$***$"
"Size.13","3","MVN","40","0.044","0.053","0.556","0.458","0.497","$***$","$***$","0.134","0.119","0.13","$***$","$***$"
"Size.14","3","MVN","50","0.029","0.052","0.408","0.352","0.389","$***$","$***$","0.096","0.08","0.137","$***$","$***$"
"Size.15","4","MVN","10","0.042","0.05","1","1","0.916","0.998","$***$","0.975","1","0.897","0.93","$***$"
"Size.16","4","MVN","20","0.046","0.055","0.836","1","0.748","0.609","$***$","0.083","0.912","0.285","0.068","$***$"
"Size.17","4","MVN","30","0.036","0.05","0.538","1","0.572","0.208","$***$","0.056","0.696","0.156","0.053","$***$"
"Size.18","4","MVN","40","0.028","0.058","0.31","1","0.483","0.12","$***$","0.047","0.423","0.116","0.045","$***$"
"Size.19","4","MVN","50","0.045","0.054","0.216","0.984","0.381","0.072","$***$","0.049","0.338","0.083","0.049","$***$"
"Size.20","5","MVN","10","0.046","0.068","0.967","1","1","0.935","1","0.778","0.995","0.997","0.734","0.932"
"Size.21","5","MVN","20","0.041","0.059","0.573","0.999","0.995","0.377","0.181","0.091","0.822","0.844","0.086","0.058"
"Size.22","5","MVN","30","0.047","0.046","0.354","0.999","0.948","0.185","0.033","0.059","0.586","0.52","0.055","0.034"
"Size.23","5","MVN","40","0.043","0.06","0.237","0.986","0.863","0.102","0.045","0.053","0.382","0.279","0.042","0.054"
"Size.24","5","MVN","50","0.046","0.047","0.174","0.979","0.764","0.077","0.047","0.046","0.271","0.206","0.049","0.05"
