"","X1","X2","X3","X4","X5","X6","X7","X8"
"Size","1","Bspline","0.048","1","$***$","$***$","$***$","$***$"
"Size.1","1","Poly","0.055","1","$***$","$***$","$***$","$***$"
"Size.2","1","SIR","0.044","1","$***$","$***$","$***$","$***$"
"Size.3","1","SIR2","0.036","1","$***$","$***$","$***$","$***$"
"Size.4","2","Bspline","0.06","1","1","$***$","$***$","$***$"
"Size.5","2","Poly","0.046","1","0.998","$***$","$***$","$***$"
"Size.6","2","SIR","0.066","1","1","$***$","$***$","$***$"
"Size.7","2","SIR2","0.055","1","1","$***$","$***$","$***$"
"Size.8","3","Bspline","0.052","1","1","1","$***$","$***$"
"Size.9","3","Poly","0.012","0.955","0.932","0.987","$***$","$***$"
"Size.10","3","SIR","0.045","0.999","0.999","1","$***$","$***$"
"Size.11","3","SIR2","0.032","0.919","0.876","0.943","$***$","$***$"
"Size.12","4","Bspline","0.042","1","1","0.916","0.998","$***$"
"Size.13","4","Poly","0.018","0.999","1","0.945","0.998","$***$"
"Size.14","4","SIR","0.047","1","1","0.766","0.986","$***$"
"Size.15","4","SIR2","0.049","0.959","1","0.597","0.857","$***$"
"Size.16","5","Bspline","0.046","0.967","1","1","0.935","1"
"Size.17","5","Poly","0.014","0.933","1","1","0.872","0.994"
"Size.18","5","SIR","0.0536159600997506","0.870324189526185","1","1","0.802992518703242","0.996259351620948"
"Size.19","5","SIR2","0.05","0.645","0.991","0.951","0.56","0.97"
